# From Jiang et al 2015 RNA sequencing from human neutrophils reveals distinct transcriptional differences associated with chronic inflammatory states,,,,,,,,,,,,
# Supplemental Table 1. Genes identified as expressed in neutrophils  in all 9 subjects,,,,,,,,,,,,
Gene ID,FPKM,,,,,,,,,,,
NFE2,253.227,300.327,316.551,286.091,404.442,491.386,298.734,340.884,714.063,3405.71,,
TCIRG1,497.399,392.087,316.792,334.759,294.046,322.541,374.066,481.204,364.372,3377.27,,
CLEC7A,244.923,581.934,352.042,421.028,417.271,438.093,342.209,355.751,223.367,3376.62,,
DOK3,265.914,287.039,404.199,286.48,357.744,373.729,389.344,363.337,642.549,3370.34,,
TNFAIP2,353.078,434.093,345.303,450.334,419.496,319.404,350.53,493.971,194.205,3360.41,,
PTPN6,459.081,304.031,364.438,403.344,395.995,376.938,316.312,421.838,309,3350.98,,
HBA1,1825.44,131.623,159.938,117.218,220.438,285.605,292.825,214.103,98.6018,3345.79,,
FPR2,151.71,380.954,483.354,373.201,419.869,404.386,352.008,319.981,439.318,3324.78,,
PRR13,278.011,332.548,371.86,332.28,325.606,440.233,377.809,373.574,461.334,3293.26,,
CD74,844.908,365.751,184.151,464.985,330.146,319.175,216.465,400.354,152.323,3278.26,,
RTN3,261.807,316.321,542.16,283.716,301.094,345.049,385.475,381.95,444.277,3261.85,,
LRP10,257.617,322.403,408.248,317.975,331.479,347.421,323.527,396.13,540.671,3245.47,,
CASP4,175.997,312.461,410.826,366.288,556.375,451.834,259.858,250.224,456.019,3239.88,,
C7orf59,546.992,416.664,361.967,299.101,235.944,364.214,345.511,378.735,289.121,3238.25,,
SLC2A3,138.74,251.248,409.566,279.804,355.283,373.357,361.311,307.095,738.71,3215.11,,
PYGL,313.97,277.529,439.039,280.997,338.697,324.474,367.677,282.728,568.701,3193.81,,
TREM1,132.508,282.579,309.094,432.202,350.671,382.997,422.474,426.175,421.099,3159.80,,
CD37,342.194,296.775,388.516,379.654,341.894,368.741,302.951,323.537,401.26,3145.52,,
CAT,1241.19,172.3,279.782,361.034,124.166,289.221,121.054,251.602,299.378,3139.73,,
CEBPD,182.863,428.027,356.773,251.953,345.344,291.555,452.625,389.684,431.406,3130.23,,
NCF1B,437.016,317.429,364.358,415.479,256.765,309.085,333.369,482.236,209.886,3125.62,,
FRAT2,205.966,323.739,442.227,357.998,331.171,363.799,324.73,396.938,342.769,3089.34,,
BIN2,348.378,313.884,356.705,346.976,363.389,317.752,322.079,404.608,308.081,3081.85,,
PROK2,151.987,267.904,496.24,228.211,434.386,338.859,315.041,201.755,627.417,3061.80,,
NINJ1,256.978,327.794,316.006,358.252,263.868,322.003,450.597,495.354,251.509,3042.36,,
WAS,314.521,329.035,349.097,304.611,314.555,344.192,359.266,370.691,348.727,3034.70,,
DDX5,444.858,347.565,271.368,375.67,192.535,300.173,355.191,344.152,380.106,3011.62,,
ATP6V0B,309.727,374.076,332.377,307.007,251.431,356.273,400.111,379.267,300.019,3010.29,,
IGSF6,132.418,328.464,396.707,353.235,453.858,375.064,261.022,335.772,369.947,3006.49,,
CST7,55.6859,137.367,496.573,144.31,422.084,382.871,167.202,147.901,1048.1,3002.09,,
FYB,241.732,300.369,378.79,331.443,497.849,388.307,269.848,218.653,355.325,2982.32,,
FKBP8,293.465,326.609,321.456,267.17,250.637,329.666,385.958,408.002,376.349,2959.31,,
GBP2,112.528,255.954,358.943,387.927,596.679,444.979,182.473,279.156,316.236,2934.88,,
PLEK,218.953,282.794,322.894,318.588,413.112,433.108,300.273,287.19,331.95,2908.86,,
RPL13AP5,612.852,469.7,157.096,295.784,212.899,270.235,281.822,448.299,144.205,2892.89,,
C1orf38,276.256,355.956,294.81,319.05,287.434,324.692,333.662,387.151,313.377,2892.39,,
SEC14L1,211.986,424.206,334.129,361.862,289.872,298.243,335.833,404.089,231.824,2892.04,,
PSME1,235.643,293.898,324.592,346.507,439.282,463.888,256.562,259.787,262.31,2882.47,,
UBL5,444.907,266.907,300.718,292.996,259.666,299.913,325.317,313.819,370.876,2875.12,,
LOC100506347,174.712,442.355,299.622,269.226,276.83,281.233,349.263,272.594,501.775,2867.61,,
BRI3,231.982,237.65,375.066,226.438,323.171,422.825,426.973,279.585,322.601,2846.29,,
PXN,218.117,305.073,324.575,291.653,320.899,314.576,309.706,320.371,413.279,2818.25,,
ANPEP,253.853,251.826,372.899,284.532,245.974,343.921,316.703,377.518,356.481,2803.71,,
RASSF2,262.618,308.688,318.966,312.88,334.038,298.496,311.263,327.033,306.66,2780.64,,
GAPDH,260.697,240.764,294.539,245.793,268.053,283.06,327.052,314.399,532.608,2766.97,,
UBE2D3,211.318,306.908,341.249,318.528,319.017,360.143,305.835,261.469,342.091,2766.56,,
NOP10,221.241,328.487,314.355,305.366,289.125,359.089,360.286,274.468,311.866,2764.28,,
YWHAZ,309.953,275.689,354.449,306.513,284.77,274.651,319.404,292.936,336.332,2754.70,,
LOC100653008,546.115,435.022,209.356,326.777,210.291,306.704,280.038,295.318,144.549,2754.17,,
TMBIM6,306.143,313.412,323.684,313.02,265.916,285.657,316.017,292.106,326.903,2742.86,,
FGL2,260.891,275.522,451.264,417.901,353.712,294.824,242.616,323.419,122.441,2742.59,,
CALM2,408.966,306.469,302.963,354.457,244.283,278.495,357.928,279.257,192.358,2725.18,,
FAU,382.059,344.983,252.896,280.578,191.735,314.943,366.767,330.665,258.46,2723.09,,
GNAS,320.773,255.227,320.348,293.052,298.781,261.173,334.255,323.971,306.315,2713.90,,
GPR97,187.657,302.96,300.867,251.801,200.088,312.227,235.992,340.961,569.992,2702.55,,
CMTM2,171.448,274.021,327.752,233.556,279.174,393.698,337.203,294.832,384.882,2696.57,,
FAM129A,136.171,287.792,298.577,300.114,406.379,327.403,238.787,217.007,474.269,2686.50,,
LTB,384.159,270.733,296.737,303.463,356.841,309.527,188.465,370.399,199.586,2679.91,,
CD14,84.5527,234.487,234.205,165.76,451.829,228.495,256.496,338.933,676.288,2671.05,,
IGF2R,154.949,297.412,388.863,289.218,276.148,194.268,301.382,432.064,331.907,2666.21,,
MMP9,179.588,148.024,338.883,112.491,122.717,124.66,545.894,317.669,773.153,2663.08,,
SLC44A2,252.418,324.619,357.869,305.617,242.243,247.108,292.33,394.054,233.453,2649.71,,
PHC2,152.241,296.873,315.249,239.853,217.724,296.845,418.009,332.598,355.851,2625.24,,
PICALM,172.227,283.27,358.66,282.485,291.996,322.216,304.445,272.148,336.29,2623.74,,
SERPINB1,153.907,240.047,252.289,267.627,309.469,384.534,239.431,236.603,537.415,2621.32,,
FCGRT,296.624,337.707,283.89,255.891,256.168,283.868,305.98,323.555,277.274,2620.96,,
FLOT1,190.276,264.894,293.292,274.235,225.667,379.545,274.296,297.474,412.881,2612.56,,
FCN1,185.383,255.224,251.861,262.531,115.782,123.583,414.31,239.172,759.199,2607.05,,
CYTH4,241.512,258.634,241.112,277.023,358.945,377.094,227.05,252.673,368.11,2602.15,,
SHKBP1,224.662,162.281,401.225,295.066,340.345,342.92,232.616,294.774,306.086,2599.98,,
LOC100652821,556.546,446.478,175.214,301.031,165.708,254.628,252.791,298.414,142.233,2593.04,,
PILRA,170.443,304.241,307.16,306.733,277.236,293.18,317.021,344.686,271.768,2592.47,,
ATP6V1B2,249.11,285.115,315.57,315.58,335.407,226.146,259.958,355.036,242.749,2584.67,,
